backend,policy,query_id,canonical_intent_id,language,recoverability,split,action,reason_code,intent_exact,committed_wrong,retrieval_calls,source_calls,steps,unknown_score
bm25,top1,wdi_000001_d0_en,wdi_000001,en,CLEAR,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000001_d2_en,wdi_000001,en,SOURCE_RECOVERABLE,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000001_d3_en,wdi_000001,en,USER_RESOLVABLE,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328
bm25,top1,wdi_000001_d5_en,wdi_000001,en,USER_RESOLVABLE,calibration,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.1509433962264151
bm25,top1,wdi_000001_d0_pt,wdi_000001,pt,CLEAR,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000002_d0_en,wdi_000002,en,CLEAR,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000002_d2_en,wdi_000002,en,SOURCE_RECOVERABLE,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000002_d3_en,wdi_000002,en,USER_RESOLVABLE,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328
bm25,top1,wdi_000002_d5_en,wdi_000002,en,USER_RESOLVABLE,development,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.1509433962264151
bm25,top1,wdi_000002_d0_pt,wdi_000002,pt,CLEAR,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000003_d0_en,wdi_000003,en,CLEAR,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000003_d2_en,wdi_000003,en,SOURCE_RECOVERABLE,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000003_d3_en,wdi_000003,en,USER_RESOLVABLE,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328
bm25,top1,wdi_000003_d5_en,wdi_000003,en,USER_RESOLVABLE,calibration,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.1509433962264151
bm25,top1,wdi_000003_d0_pt,wdi_000003,pt,CLEAR,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000003_cf_entity_en,wdi_000003,en,CLEAR,calibration,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000004_d0_en,wdi_000004,en,CLEAR,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000004_d2_en,wdi_000004,en,SOURCE_RECOVERABLE,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000004_d3_en,wdi_000004,en,USER_RESOLVABLE,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328
bm25,top1,wdi_000004_d5_en,wdi_000004,en,USER_RESOLVABLE,development,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.1509433962264151
bm25,top1,wdi_000004_d0_pt,wdi_000004,pt,CLEAR,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000005_d0_en,wdi_000005,en,CLEAR,sealed_test,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000005_d2_en,wdi_000005,en,SOURCE_RECOVERABLE,sealed_test,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000005_d3_en,wdi_000005,en,USER_RESOLVABLE,sealed_test,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328
bm25,top1,wdi_000005_d5_en,wdi_000005,en,USER_RESOLVABLE,sealed_test,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.1509433962264151
bm25,top1,wdi_000005_d0_pt,wdi_000005,pt,CLEAR,sealed_test,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000006_d0_en,wdi_000006,en,CLEAR,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000006_d2_en,wdi_000006,en,SOURCE_RECOVERABLE,development,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521
bm25,top1,wdi_000006_d3_en,wdi_000006,en,USER_RESOLVABLE,development,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.1509433962264151
bm25,top1,wdi_000006_d5_en,wdi_000006,en,USER_RESOLVABLE,development,ANSWER,SUFFICIENT_EVIDENCE,False,True,1,1,1,0.0879120879120879
