method,backend,intent_id,domain,cell_id,seed,query,correct_hypothesis,predicted_hypothesis,interpretation_correct,action,ranking_recall_at_10,ranking_mrr,ranking_ndcg_at_10,evidence_recall_at_10,retrieval_calls,ask,wrong_answer,latency_ms,ambiguity,lexical,paraphrase,underspecification,distractor,severity
bm25,bm25,ops-01,ops,clean,42,prod started returning 401 after we rotated keys and only some pods fail,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,0.6666666666666666,0.5,0.4441228664487979,0.6666666666666666,1,False,True,0.10720000136643648,0,0,0,0,0,0.0
bm25,bm25,ops-01,ops,A3,42,prod started returning 401 after we rotated Secret OOMKill keys and only some pods Consumer fail,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,1.0,0.5,0.6005491084563833,1.0,1,False,True,0.08540006820112467,3,0,0,0,0,0.2
bm25,bm25,ops-01,ops,L3,42,prod started retirning 401 auter we rototed kiys and only some peds fail,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,0.3333333333333333,0.25,0.20210734650054757,0.3333333333333333,1,False,True,0.06799993570894003,0,3,0,0,0,0.2
bm25,bm25,ops-01,ops,P3,42,prod instances some just and keys rotated we following 401 returning began fail,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,0.3333333333333333,0.14285714285714285,0.15642624200758548,0.3333333333333333,1,False,True,0.0610999995842576,0,0,3,0,0,0.2
bm25,bm25,ops-01,ops,U3,42,prod started returning we keys and only pods fail,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,0.6666666666666666,0.2,0.3379680345449381,0.6666666666666666,1,False,True,0.05079992115497589,0,0,0,3,0,0.2
bm25,bm25,ops-01,ops,D3,42,prod started returning mobile 401 after we rotated keys and only some pods fail yesterday random,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,0.6666666666666666,0.5,0.43734888382569426,0.6666666666666666,1,False,True,0.07800001185387373,0,0,0,0,3,0.2
bm25,bm25,ops-01,ops,mid_mix,42,instances Secret some and keys rotated OOMKill we following 401 returning started fail,ops.secret_rotation_mismatch,ops.deploy_bad_canary,False,ANSWER,1.0,0.16666666666666666,0.4648536698336167,1.0,1,False,True,0.06600003689527512,2,1,2,1,0,0.4
bm25,bm25,ops-01,ops,hard_mix,42,prod beean 401 after mobile rotated kays and jast Stale random pods faol,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ANSWER,0.6666666666666666,1.0,0.6049306994552042,0.6666666666666666,1,False,False,0.06510003004223108,1,2,1,2,2,0.5333333333333333
bm25,bm25,ops-01,ops,severe,42,prod mobile instaaces Secret some juot yesterday Database and keys dashboard rotated we 401 Stale began,ops.secret_rotation_mismatch,ops.tls_cert_expired,False,ANSWER,0.6666666666666666,0.1111111111111111,0.2769189462922768,0.6666666666666666,1,False,True,0.0735999783501029,3,3,2,2,3,0.8666666666666667
bm25,bm25,ops-02,ops,clean,42,browsers show a certificate warning and mobile clients cannot handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.6666666666666666,1.0,0.6508205185601091,0.6666666666666666,1,False,False,0.049299909733235836,0,0,0,0,0,0.0
